,id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,78f9pUmqxdrPpUeidwwagK,Levitate - From The Original Motion Picture “Passengers”,Imagine Dragons,0,2016-11-29,0.31,0.681,11,-5.52,1,0.0331,0.0,0.185,0.233,106.784,198173,5
1,3NdDpSvN911VPGivFlV5d0,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",Taylor Swift,0,2016-12-09,0.735,0.451,0,-8.374,1,0.0631,1.3e-05,0.325,0.0862,117.973,245200,4
2,33koOQs551ijjVmLbmrcDc,Yellow - Live from Spotify London,Coldplay,58,2016-12-16,0.223,0.439,11,-10.456,1,0.447,0.0141,0.926,0.119,165.899,252467,4
3,5NQbUaeTEOGdD6hHcre0dZ,679 (feat. Remy Boyz),Remy Boyz,73,2015-06-29,0.618,0.717,7,-5.738,1,0.00256,0.0,0.625,0.603,190.05,196693,4
4,7rklm17yoayxw45lpzv5uv,Se på mig nu (feat. Linnea Henriksson) - Singelversion,Linnea Henriksson,52,2016-10-28,0.622,0.729,0,-7.929,0,0.108,5.93e-06,0.163,0.532,106.053,250040,4
5,6Fu4uPJmXn1mLkMpG2GTZJ,Snacket på stan,Danny Saucedo,0,2016,0.722,0.827,7,-4.699,1,0.0112,0.0,0.0578,0.678,110.998,172120,4
6,1WniHvhq9zTkny0WvGXX8o,Chantaje,Maluma,0,2016,0.859,0.756,8,-3.36,0,0.168,4.65e-05,0.163,0.91,102.033,195613,4
7,4wFHfY9IILHLNwakPuFogD,Hasta el Amanecer,Nicky Jam,0,2016-01-13,0.837,0.608,6,-6.046,0,0.283,0.0,0.0855,0.582,94.0,197213,4
8,6H2TKJ9KJfcq6MRmw2cF20,Bad Things - With Camila Cabello,Camila Cabello,0,2016-10-14,0.689,0.692,2,-4.756,1,0.229,0.0,0.184,0.285,137.832,239280,4
9,5knuzwU65gJK7IF5yJsuaW,Rockabye (feat. Sean Paul & Anne-Marie),Anne-Marie,74,2016-10-21,0.72,0.763,9,-4.068,0,0.406,0.0,0.18,0.742,101.965,251088,4
10,1XZkxBNZT13KoAexAKB2lp,True Colors,The Weeknd,0,2016-11-25,0.608,0.419,1,-8.231,1,0.277,0.0,0.187,0.634,76.61,206013,4
11,4yL7ZrNQDc1RoKg240aGu8,Ordinary Life,The Weeknd,0,2016-11-25,0.537,0.592,7,-7.612,0,0.0318,0.0,0.104,0.39,149.996,221920,4
12,1w6EY8Wkqw4TxYUxiids7C,Love To Lay,The Weeknd,0,2016-11-25,0.709,0.802,7,-5.031,0,0.0449,0.0,0.282,0.717,116.984,223293,4
13,5HR4CYT5nPpFy8m9wJQgrr,Rockin’,The Weeknd,0,2016-11-25,0.737,0.881,9,-5.567,0,0.0123,0.0,0.0806,0.768,112.992,232880,4
